Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Year
Planys Technologies,Manufacturing,Series A,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2046920.0,2018
HealthPlix,Fitness,Series A,Bangalore,HealthPlix is a healthtech startup,3000000.0,2018
dishq,Undisclosed,Seed,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,400000.0,2018
Entropik Technology,AI,Seed,Bengaluru,The boundaries between Human and Machines are shrinking fast.,1100000.0,2018
myHQ,Collaboration,Series A,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,500000.0,2018
Trell,Undisclosed,Seed,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,1250000.0,2018
Kidovators (by GyanLab),Big Data,Seed,Bangalore,Building future human capital through 21st Century Skills programs for K-12,180000.0,2018
Log 9 Materials,Nanotechnology,Seed,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,438000.0,2018
VTION,Analytics,Seed,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,280320.0,2018
HousingMan.com,Undisclosed,Seed,Bengaluru,"New Apartments, Flats for Sale in Bangalore",1503800.0,2018
RupeeCircle,Financial Services,Seed,Mumbai,RupeeCircle is a new age finance company.,584000.0,2018
Wooden Street,E-Commerce,Series A,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,1000000.0,2018
The Ken,Digital Media,Series A,Bengaluru,The Ken is India’s first subscriptions-only business news site,1500000.0,2018
SaffronStays,Undisclosed,Seed,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2000000.0,2018
Vebbler,File Sharing,Seed,Bengaluru,A personal network for close people,121793941.14254577,2018
Foyr,Home Decor,Series A,Pune,"Foyr.com is India's first online, automated interior designer",4200000.0,2018
MEngage,Health Care,Seed,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,175000.0,2018
Inner Being Wellness,Undisclosed,Angel,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",511000.0,2018
Kobster,E-Commerce,Seed,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,121793941.14254577,2018
Wishberry,Crowdfunding,Series A,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,1460000.0,2018
McXtra,Finance,Seed,Andheri,McXtra is a digital insurance broking startup.,1300000.0,2018
Magic Crate,Children,Seed,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",121793941.14254577,2018
SmartVizX,Software,Seed,Noida,It is a Virtual Reality Solutions StartUp,1450000.0,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Undisclosed,Seed,Pune,Digital Marketing Agency,2920.0,2018
Scale Labs,Undisclosed,Seed,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,1000000.0,2018
HungerBox,B2B,Series A,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,4500000.0,2018
Biryani By Kilo,Food Delivery,Seed,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,1000000.0,2018
Wholesome Habits (EAT Anytime),Food & Beverages,Seed,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,500000.0,2018
GoBumpr,Automotive,Seed,Mylapore,Car Service and Bike Service Mobile App,600000.0,2018
Fixpocket,Computer,Seed,Ahmedabad,Fixpocket is a internet-based startup.,250000.0,2018
edureka!,E-Learning,Series A,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2000000.0,2018
Hashtag Loyalty Private Limited,Analytics,Seed,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,121793941.14254577,2018
Wow Express,Delivery,Series A,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",4500000.0,2018
ZunRoof,Environmental Consulting,Angel,Gurgaon,ZunRoof is a rooftop focused solar startup.,242360.0,2018
Eggoz,Food & Beverages,Angel,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,175200.0,2018
Sqrrl Fintech,Big Data,Seed,Gurgaon,Personal Finance,1000000.0,2018
GalaxyCard,Finance,Seed,Noida,GalaxyCard is a mobile based Instant credit card.,121793941.14254577,2018
IndiQube,Commercial Real Estate,Series A,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,15000000.0,2018
EGK Foods,Food & Beverages,Seed,Mumbai,A food processing enterprise registered with StartUp India .,292000.0,2018
NirogStreet,Apps,Seed,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,300000.0,2018
Pixr8,Digital Media,Seed,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,50000.0,2018
Nivesh.com,Finance,Seed,Noida,Nivesh.com is a mass market mutual funds investment platform.,438000.0,2018
Theranosis Life Sciences,Biotechnology,Seed,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,121793941.14254577,2018
Poshmiles Online Solutions Private Limited,Travel,Seed,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,121793941.14254577,2018
Reculta,Education,Seed,Noida,A campus recruitment solution provider.,121793941.14254577,2018
Orbo.ai,Internet,Seed,Mumbai,Orbo is a computer vision and deep facial technology company.,121793941.14254577,2018
Inntot Technologies,Consumer Electronics,Seed,Kochi,"Inntot Technologies, is a technology driven company.",121793941.14254577,2018
Zoctr Health,Apps,Seed,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,121793941.14254577,2018
Hey Deedee,Delivery Service,Seed,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,481800.0,2018
DigiConnectt Technologys,Information Services,Seed,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,125000.0,2018
Locus.sh,Big Data,Series A,Bangalore,Locus is an intelligent logistics automation platform.,4000000.0,2018
Sports Flashes Pvt. Ltd,Apps,Seed,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",1000000.0,2018
Inc42,Media and Entertainment,Seed,New Delhi,Inc42 is one of the leading tech media publications of India.,121793941.14254577,2018
Picxy,Internet,Seed,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",130000.0,2018
Huddle,Consulting,Seed,Haryana,A coworking incubator Company.,300000.0,2018
Benepik,Human Resources,Seed,Gurgaon,HR Technology start-up.,121793941.14254577,2018
Cash Suvidha,Finance,Seed,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,1000000.0,2018
Smartcoin,Big Data,Seed,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,2000000.0,2018
Carmel Organics,Agriculture,Series A,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",121793941.14254577,2018
Roadcast,Undisclosed,Angel,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,250000.0,2018
Printline Media(ThePrint),Digital Media,Seed,New Delhi,A digital news platform.,509540.0,2018
Creditas Solutions,Financial Services,Seed,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,121793941.14254577,2018
UrbanPiper,Software,Seed,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,121793941.14254577,2018
Doxper,Health Care,Seed,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,1051200.0,2018
i2ifunding,Crowdfunding,Angel,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,730000.0,2018
ShakeDeal,B2B,Seed,Bangalore,Home of B2B Commerce,121793941.14254577,2018
HelloVerify,Fraud Detection,Seed,Noida,HelloVerify is an online background check platform.,121793941.14254577,2018
Fasal,Agriculture,Seed,Bengaluru,Climate Smart Precision Agriculture Platform,120000.0,2018
CoinGeto,Crypto,Seed,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,1752000.0,2018
Avail Finance,Finance,Series A,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,17200000.0,2018
Tripeur,IT,Seed,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,600000.0,2018
Wedeterna,Wedding,Angel,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",121793941.14254577,2018
Stumagz,Digital Media,Seed,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,121793941.14254577,2018
Doubtnut,E-Learning,Seed,Gurgaon,Gurgaon based E-learning platform.,511000.0,2018
MCaffeine,Consumer Goods,Seed,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,467200.0,2018
TrustCheckr,IT,Angel,Bengaluru,A Bengaluru-based fraud analytics solution provider .,100000.0,2018
HealthAssure,Fitness,Seed,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,1000000.0,2018
Picture TIme,Digital Entertainment,Seed,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,3650000.0,2018
1Crowd,Crowdfunding,Angel,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,3500000.0,2018
Aarav Unmanned Systems,Delivery,Seed,Bangalore,Professional Drones for Enterprise Applications,121793941.14254577,2018
Wellthy Therapeutics Pvt Ltd,Health Care,Seed,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",1971000.0,2018
Nua,Consumer Goods,Seed,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,121793941.14254577,2018
Kuvera.in,Financial Services,Angel,Bangalore,An online platform for mutual fund investments.,250000.0,2018
Livehealth,Health Care,Seed,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,1100000.0,2018
Gramophone,Farming,Seed,Indore,An agricultural inputs startup Company.,1000000.0,2018
Ora,Business Travel,Seed,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,121793941.14254577,2018
Buddy4Study.com,Career Planning,Series A,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,3000000.0,2018
Predible Health,Medical Device,Seed,Bangalore,Healthcare devices for cancer detection,121793941.14254577,2018
Syncremedies Healthcare Pvt Ltd,Alternative Medicine,Seed,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",121793941.14254577,2018
Blueleaf Cyberspace Systems,Internet,Seed,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.,121793941.14254577,2018
Toffee,Undisclosed,Seed,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",1500000.0,2018
ORO Wealth,Undisclosed,Series A,Mumbai,Online wealth management platform,1600000.0,2018
HealWell24,Dental,Seed,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",200000.0,2018
Acko General Insurance,Financial Services,Series A,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,12000000.0,2018
arzooo.com,Consumer Electronics,Seed,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,219000.0,2018
